"nbhd_code","DEM_buenosaires"
"buenosaires_4",13.5365709807858
"buenosaires_1",21.1090237506867
"buenosaires_2",27.2731699462296
"buenosaires_13",17.6883624469182
"buenosaires_14",18.8580920154173
"buenosaires_15",25.2835697895673
"buenosaires_11",27.9411419751185
"buenosaires_10",27.4474771944772
"buenosaires_12",23.5592979770324
"buenosaires_9",24.6232284598027
"buenosaires_8",14.9659022043636
"buenosaires_7",21.9959950615165
"buenosaires_6",31.2952100491637
"buenosaires_5",29.7748076605933
"buenosaires_3",32.7295016427365
