system:index,nbhd_code,UHI,UHINIGHT,UHIEQ,Buffer_UHI,NDVI,NDBI,Albedo,DEM,COUNT
0000919c24928639dd95,buenosaires_4,2.992433039,-0.879892921,2.992433039,3.406376953,0.184976245,-0.011278096,0.124182553,13.53657098,24
000002e7e103feafc537,buenosaires_1,1.160414699,-0.313288845,1.160414699,1.063566424,0.226269095,-0.092604786,0.106124309,21.10902375,20
000067bc1935a38fdbba,buenosaires_2,1.557929841,0.04303754,1.557929841,1.788761443,0.181995595,-0.036742262,0.111444743,27.27316995,6
0000adc509740c4f333f,buenosaires_13,1.889118081,-0.170095876,1.889118081,1.758620085,0.291484347,-0.081637468,0.120960018,17.68836245,18
000090eb8ab88d10fa23,buenosaires_14,1.826356967,0.116338083,1.826356967,1.952576575,0.289265803,-0.089623108,0.119063233,18.85809202,19
00003ef601fe8d8d47fb,buenosaires_15,2.855593857,-0.500279917,2.855593857,3.028506197,0.21869698,-0.04465535,0.128437623,25.28356979,16
000060392501a441ec0e,buenosaires_11,3.397051757,-0.809649606,3.397051757,3.600700036,0.210936709,-0.036005228,0.128671785,27.94114198,17
00009861622b4a245fb6,buenosaires_10,3.716692062,-1.023780218,3.716692062,3.843966992,0.193982821,-0.027853285,0.12804128,27.44747719,17
00007dc5205c1534d798,buenosaires_12,3.201200031,-0.59864304,3.201200031,3.567045977,0.250061905,-0.046583168,0.131358632,23.55929798,18
0000c3277d058c20056d,buenosaires_9,4.056937043,-1.217218487,4.056937043,4.251970622,0.203734734,-0.020333216,0.132381983,24.62322846,20
0000ce19086d425c98c7,buenosaires_8,4.316591604,-0.830869778,4.316591604,4.534413642,0.282478506,-0.064942442,0.136836226,14.9659022,27
00006597fc446d42d412,buenosaires_7,3.453340322,-0.752223159,3.453340322,3.602107831,0.184911493,-0.020453875,0.129525565,21.99599506,13
0000dc936c4786639132,buenosaires_6,2.764249962,-0.549593561,2.764249962,2.757621037,0.180785879,-0.025633199,0.118786036,31.29521005,11
0000e8603130a07a9fae,buenosaires_5,2.152324733,-0.584109835,2.152324733,1.977474931,0.126258232,-0.01893455,0.119115441,29.77480766,9
0000d3a02810874e15b1,buenosaires_3,1.566782403,-0.527845031,1.566782403,1.52342658,0.096682584,-0.007368706,0.111458802,32.72950164,8
